Date,Close,High,Low,Open,Volume,return_1d,return_5d,ma_5,ma_20,volatility_20,rsi_14,regime_id,regime_label
2020-01-31,161.6302032470703,163.69057600096366,161.0130461758437,163.51018671757376,36142700.0,-0.0147584438636965,0.0314469395640435,159.28308715820313,155.87444763183595,0.0129700490302662,65.89212538525007,0,HIGH_VOL_CHOPPY
2020-02-03,165.57058715820312,165.6845203010666,161.7916403899352,161.82012367565108,30107000.0,0.0243790073388046,0.074562679176982,161.58083801269532,156.62264251708984,0.0132734101832722,68.38978948820174,2,HIGH_VOL_CHOPPY
2020-02-04,171.02056884765625,171.51430318526613,167.40304737617856,168.1911186016925,36433300.0,0.0329163638481613,0.0886013148682995,164.36471252441407,157.62386932373047,0.0146633131906235,75.87011764879888,2,HIGH_VOL_CHOPPY
2020-02-05,170.8116912841797,174.89446403969472,169.3969733266185,174.7330539466545,39186300.0,-0.0012213593071522,0.0705783341661625,166.61687927246095,158.68349075317383,0.0143274400354629,74.63186220265703,1,NEUTRAL
2020-02-06,174.35325622558594,174.5336599911423,170.9636010212311,171.82763248366683,27751400.0,0.0207337385092343,0.0627968661187809,168.67726135253906,159.80102996826173,0.0145284767105235,75.17314980180336,2,HIGH_VOL_CHOPPY
2020-02-07,174.60015869140625,176.2522617760695,173.26138625148627,173.61270427083156,33529100.0,0.0014161047012557,0.080244627450662,171.27125244140626,160.83596801757812,0.0145184861494247,74.6840784418238,1,NEUTRAL
2020-02-10,179.1671600341797,179.3000868675421,173.9924886446548,174.30581928499586,35844300.0,0.0261569140429323,0.0821194942250522,173.99056701660157,162.13486022949218,0.0149112153004243,79.04254285842832,2,HIGH_VOL_CHOPPY
2020-02-11,175.1223907470703,181.06614041953577,174.22987571416988,181.0186634413718,53159900.0,-0.0225753943207993,0.023984377593013,174.81093139648436,163.13941345214843,0.0163532001284058,72.48095745767841,0,HIGH_VOL_CHOPPY
2020-02-12,175.37869262695312,176.4611007006087,172.6631756017562,176.2047366998145,47062900.0,0.0014635585934468,0.0267370535847883,175.72433166503907,164.211376953125,0.0160982316898429,71.97669606488917,1,NEUTRAL
2020-02-13,174.4292449951172,176.8219278375679,173.63166955969632,173.83106704053586,35295800.0,-0.0054137000203069,0.0004358322360951,175.73952941894532,165.1860221862793,0.0163234656529227,73.1927014521154,1,NEUTRAL
2020-02-14,175.9864044189453,176.04337099171647,173.42279274073843,173.99248744432623,23149500.0,0.0089271694312023,0.0079395444879815,176.01677856445312,166.09657669067383,0.0160856765387748,79.4788369936366,1,NEUTRAL
2020-02-18,177.77139282226562,178.2176502251347,176.12879410902988,176.23323763923193,27792200.0,0.0101427630686234,-0.0077903071726302,175.7376251220703,167.05222930908204,0.0161177324673653,78.77361015409738,1,NEUTRAL
2020-02-19,178.30453491210938,179.1613962650694,177.53335678894416,179.04715195867632,29997500.0,0.0029990319667281,0.0181709726064387,176.37405395507812,168.06302337646486,0.0159818812228942,77.57719224633307,1,NEUTRAL
2020-02-20,175.5815887451172,178.27596149526204,172.4207087578215,177.99033622154437,36862400.0,-0.0152713231232979,0.0011569029003748,176.41463317871094,168.97564926147462,0.0165219090722637,67.89043085944603,0,HIGH_VOL_CHOPPY
2020-02-21,170.03103637695312,174.70572716816383,168.75525962156425,174.39154073840234,48572600.0,-0.0316123826412205,-0.0252148578541814,175.5349914550781,169.56232681274415,0.0184990311996736,61.88101569253863,0,HIGH_VOL_CHOPPY
