equity,symbol
9842.415561363036,MSFT
10072.521467003706,MSFT
10394.978315188611,AAPL
10371.887333360522,MSFT
10576.563445844298,MSFT
10422.22140566764,AAPL
10461.301088403132,AAPL
10214.671790135422,MSFT
10219.406889022977,MSFT
10153.862678851327,MSFT
10234.354068687742,MSFT
10036.720662288628,AAPL
10056.784387733662,MSFT
9893.14719937951,MSFT
9570.508097387426,MSFT
9148.299193343864,MSFT
8988.189127426373,MSFT
9091.506611927218,MSFT
8441.83383645513,MSFT
8637.794790014605,MSFT
9433.340761895965,AAPL
9124.31225818419,AAPL
9450.185390049011,MSFT
9203.583949594926,MSFT
8934.218660113049,MSFT
8218.659521214258,AAPL
8772.46465556059,MSFT
8459.01849740258,AAPL
7615.191077016655,AAPL
8690.219300214963,MSFT
7563.557320944317,AAPL
7888.565396389028,AAPL
7687.565342149455,AAPL
7620.973294498661,AAPL
7129.5307940309585,AAPL
6970.940844900932,AAPL
7597.599181260132,MSFT
7548.148831232679,AAPL
8012.745590797743,MSFT
7675.7215990035875,MSFT
7887.094306173814,AAPL
7863.111745681549,AAPL
7441.5153911875,AAPL
7558.247829050216,AAPL
7442.067154935067,AAPL
7988.075511629294,MSFT
7887.56646916534,AAPL
8081.556665319774,AAPL
8073.963767820348,MSFT
8083.980322785961,MSFT
8475.918111038995,MSFT
8378.631517953789,MSFT
8621.789647265583,MSFT
8496.180853589314,AAPL
8311.335766809712,AAPL
8046.115711953242,AAPL
8269.823921706626,AAPL
8229.508017025979,AAPL
8458.857854483422,AAPL
8456.377617823044,AAPL
8310.84993830526,AAPL
8575.512751850205,AAPL
8747.844665409204,AAPL
8512.604002231137,MSFT
8712.307117817763,MSFT
8834.356573282099,AAPL
8916.66837774454,AAPL
8999.994051701096,AAPL
9205.208992333608,AAPL
9340.850949441363,AAPL
9224.7627883494,AAPL
9104.156975773401,AAPL
9150.979771618942,AAPL
9087.72828420812,AAPL
9292.758495090273,AAPL
9229.76670212737,AAPL
9400.04204286083,AAPL
9320.558988002203,AAPL
9371.24668073396,AAPL
9298.400634401043,AAPL
9329.613311373281,AAPL
9324.392407543673,AAPL
9305.985902126922,AAPL
9411.123570477816,AAPL
9445.283038392876,AAPL
9487.830926536753,AAPL
9396.633184265185,AAPL
9654.860333790648,AAPL
9702.29163461954,AAPL
9998.967498240905,AAPL
10246.216288255704,AAPL
9744.044865696464,AAPL
9818.425404217734,AAPL
9930.03535009459,AAPL
10183.271323860816,AAPL
10208.335041273549,MSFT
10202.190644420976,AAPL
