Date,symbol,return_1d,return_5d,ma_5,ma_20,volatility_20,rsi_14,future_return,rank,label
2020-01-31,AAPL,-0.0443389134166082,-0.027646128835663,76.45468292236328,75.3984806060791,0.017679089167134,49.36882865911685,0.0364431046058926,0.5,1
2020-01-31,MSFT,-0.0147584438636965,0.0314469395640435,159.28308715820313,155.87444763183595,0.0129700490302662,65.89212538525007,0.080244627450662,1.0,2
2020-02-03,AAPL,-0.0027460492402927,-0.0009386383715284,76.44068908691406,75.53395957946778,0.0175108756509238,42.987599135054495,0.0442333628544777,0.5,1
2020-02-03,MSFT,0.0243790073388046,0.074562679176982,161.58083801269532,156.62264251708984,0.0132734101832722,68.38978948820174,0.0821194942250522,1.0,2
2020-02-04,AAPL,0.0330135180889148,0.0036513616040392,76.49666595458984,75.76377754211425,0.0188075433776738,54.73961933808023,0.0047623760589201,0.5,1
2020-02-04,MSFT,0.0329163638481613,0.0886013148682995,164.36471252441407,157.62386932373047,0.0146633131906235,75.87011764879888,0.023984377593013,1.0,2
2020-02-05,AAPL,0.0081544111828071,-0.0089103856747484,76.35720672607422,76.04197273254394,0.0187408655798745,57.61875600183957,0.0203031758885239,0.5,1
2020-02-05,MSFT,-0.0012213593071522,0.0705783341661625,166.61687927246095,158.68349075317383,0.0143274400354629,74.63186220265703,0.0267370535847883,1.0,2
2020-02-06,AAPL,0.0116969091019263,0.0041374172799681,76.42186889648437,76.307621383667,0.0186158924067262,57.52911094491295,0.0013252622303083,1.0,2
2020-02-06,MSFT,0.0207337385092343,0.0627968661187809,168.67726135253906,159.80102996826173,0.0145284767105235,75.17314980180336,0.0004358322360951,0.5,1
2020-02-07,AAPL,-0.0135928345220018,0.0364431046058926,76.96617126464844,76.4422492980957,0.0185154283122202,51.53375735583274,0.0153737452634106,1.0,2
2020-02-07,MSFT,0.0014161047012557,0.080244627450662,171.27125244140626,160.83596801757812,0.0145184861494247,74.6840784418238,0.0079395444879815,0.5,1
2020-02-10,AAPL,0.0047496500231938,0.0442333628544777,77.62501220703125,76.5868133544922,0.018526088763413,54.31781376325721,-0.0079305274143608,0.5,1
2020-02-10,MSFT,0.0261569140429323,0.0821194942250522,173.99056701660157,162.13486022949218,0.0149112153004243,79.04254285842832,-0.0077903071726302,1.0,2
2020-02-11,AAPL,-0.0060333696878381,0.0047623760589201,77.69828796386719,76.62793426513672,0.0180298535462073,51.98193293711428,0.0125468285304932,0.5,1
2020-02-11,MSFT,-0.0225753943207993,0.023984377593013,174.81093139648436,163.13941345214843,0.0163532001284058,72.48095745767841,0.0181709726064387,1.0,2
2020-02-12,AAPL,0.0237476760928434,0.0203031758885239,78.01322784423829,76.81247100830078,0.0184065852889788,55.95828314317078,-0.0210880053280644,0.5,1
2020-02-12,MSFT,0.0014635585934468,0.0267370535847883,175.72433166503907,164.211376953125,0.0160982316898429,71.97669606488917,0.0011569029003748,1.0,2
2020-02-13,AAPL,-0.0071209256779172,0.0013252622303083,78.03402557373047,76.9849983215332,0.018472826417143,54.89958722432663,-0.0363838531218529,0.5,1
2020-02-13,MSFT,-0.0054137000203069,0.0004358322360951,175.73952941894532,165.1860221862793,0.0163234656529227,73.1927014521154,-0.0252148578541814,1.0,2
2020-02-14,AAPL,0.0002463492583839,0.0153737452634106,78.27201080322266,77.11144371032715,0.0183223818669747,62.796085042813814,-0.0823818329307157,0.5,1
2020-02-14,MSFT,0.0089271694312023,0.0079395444879815,176.01677856445312,166.09657669067383,0.0160856765387748,79.4788369936366,-0.0754965233718112,1.0,2
2020-02-18,AAPL,-0.018310784547095,-0.0079305274143608,78.14866333007812,77.12383422851562,0.0187134110423273,51.646840622589345,-0.0969275455074243,1.0,2
2020-02-18,MSFT,0.0101427630686234,-0.0077903071726302,175.7376251220703,167.05222930908204,0.0161177324673653,78.77361015409738,-0.099882012898069,0.5,1
2020-02-19,AAPL,0.014483145585191,0.0125468285304932,78.34263305664062,77.21815071105956,0.0188915732983452,50.03956622918218,-0.095698663113802,0.5,1
2020-02-19,MSFT,0.0029990319667281,0.0181709726064387,176.37405395507812,168.06302337646486,0.0159818812228942,77.57719224633307,-0.091360253499976,1.0,2
2020-02-20,AAPL,-0.0102592281097411,-0.0210880053280644,78.00887756347656,77.25868644714356,0.0190599591631865,47.79081081914248,-0.1460505753819095,0.5,1
2020-02-20,MSFT,-0.0152713231232979,0.0011569029003748,176.41463317871094,168.97564926147462,0.0165219090722637,67.89043085944603,-0.1422839223197529,1.0,2
2020-02-21,AAPL,-0.0226350140547358,-0.0363838531218529,77.43713836669922,77.1930923461914,0.0197247324823629,53.790023179782665,-0.1267846684479929,0.5,1
2020-02-21,MSFT,-0.0316123826412205,-0.0252148578541814,175.5349914550781,169.56232681274415,0.0184990311996736,61.88101569253863,-0.092838436945231,1.0,2
2020-02-24,AAPL,-0.0475001642533847,-0.0823818329307157,76.14226379394532,76.95878219604492,0.0223378359639299,43.074975351797086,0.0021127099551803,0.5,1
2020-02-24,MSFT,-0.0431156205864156,-0.0754965233718112,172.87771911621093,169.86220932006836,0.0210916555176936,46.29555823009742,0.0111181866523613,1.0,2
2020-02-25,AAPL,-0.0338721255057623,-0.0969275455074243,74.6466567993164,76.71525535583496,0.0226370823870526,28.65986068353793,0.0043043556579533,1.0,2
2020-02-25,MSFT,-0.0165016210700656,-0.099882012898069,169.32648620605468,170.15887908935548,0.0210813095775412,34.70607943340613,-0.0211817608454395,0.5,1
2020-02-26,AAPL,0.0158636333522956,-0.095698663113802,73.14862518310547,76.42155303955079,0.0218875721995525,30.609706294536196,0.0344777964116471,1.0,2
