Date,Close,High,Low,Open,Volume,return_1d,return_5d,ma_5,ma_20,volatility_20,rsi_14
2020-01-31,161.6302032470703,163.69057600096366,161.0130461758437,163.51018671757376,36142700.0,-0.014758443863696513,0.03144693956404354,159.28308715820313,155.87444763183595,0.012970049030266242,65.89212538525007
2020-02-03,165.57058715820312,165.6845203010666,161.7916403899352,161.82012367565108,30107000.0,0.024379007338804604,0.074562679176982,161.58083801269532,156.62264251708984,0.01327341018327224,68.38978948820174
2020-02-04,171.02056884765625,171.51430318526613,167.40304737617856,168.1911186016925,36433300.0,0.03291636384816132,0.08860131486829959,164.36471252441407,157.62386932373047,0.014663313190623566,75.87011764879888
2020-02-05,170.8116912841797,174.89446403969472,169.3969733266185,174.7330539466545,39186300.0,-0.001221359307152281,0.07057833416616255,166.61687927246095,158.68349075317383,0.014327440035462926,74.63186220265703
2020-02-06,174.35325622558594,174.5336599911423,170.9636010212311,171.82763248366683,27751400.0,0.020733738509234323,0.06279686611878099,168.67726135253906,159.80102996826173,0.014528476710523586,75.17314980180336
2020-02-07,174.60015869140625,176.2522617760695,173.26138625148627,173.61270427083156,33529100.0,0.0014161047012557493,0.08024462745066208,171.27125244140626,160.83596801757812,0.014518486149424768,74.6840784418238
2020-02-10,179.1671600341797,179.3000868675421,173.9924886446548,174.30581928499586,35844300.0,0.0261569140429323,0.08211949422505227,173.99056701660157,162.13486022949218,0.01491121530042431,79.04254285842832
2020-02-11,175.1223907470703,181.06614041953577,174.22987571416988,181.0186634413718,53159900.0,-0.022575394320799358,0.023984377593013084,174.81093139648436,163.13941345214843,0.016353200128405864,72.48095745767841
2020-02-12,175.37869262695312,176.4611007006087,172.6631756017562,176.2047366998145,47062900.0,0.0014635585934468232,0.026737053584788395,175.72433166503907,164.211376953125,0.016098231689842955,71.97669606488917
2020-02-13,174.4292449951172,176.8219278375679,173.63166955969632,173.83106704053586,35295800.0,-0.005413700020306944,0.0004358322360951128,175.73952941894532,165.1860221862793,0.016323465652922798,73.1927014521154
2020-02-14,175.9864044189453,176.04337099171647,173.42279274073843,173.99248744432623,23149500.0,0.008927169431202309,0.00793954448798151,176.01677856445312,166.09657669067383,0.016085676538774886,79.4788369936366
2020-02-18,177.77139282226562,178.2176502251347,176.12879410902988,176.23323763923193,27792200.0,0.010142763068623495,-0.007790307172630295,175.7376251220703,167.05222930908204,0.0161177324673653,78.77361015409738
2020-02-19,178.30453491210938,179.1613962650694,177.53335678894416,179.04715195867632,29997500.0,0.0029990319667281273,0.01817097260643874,176.37405395507812,168.06302337646486,0.015981881222894272,77.57719224633307
2020-02-20,175.5815887451172,178.27596149526204,172.4207087578215,177.99033622154437,36862400.0,-0.01527132312329793,0.0011569029003748454,176.41463317871094,168.97564926147462,0.016521909072263724,67.89043085944603
2020-02-21,170.03103637695312,174.70572716816383,168.75525962156425,174.39154073840234,48572600.0,-0.03161238264122057,-0.025214857854181427,175.5349914550781,169.56232681274415,0.01849903119967365,61.88101569253863
2020-02-24,162.70004272460938,166.18463956657936,155.40714713360293,159.72957434916313,68311100.0,-0.043115620586415604,-0.07549652337181123,172.87771911621093,169.86220932006836,0.02109165551769368,46.29555823009742
2020-02-25,160.01522827148438,166.46076459688229,159.61534404713044,165.85143726918932,68073300.0,-0.016501621070065697,-0.09988201289806908,169.32648620605468,170.15887908935548,0.021081309577541268,34.70607943340613
2020-02-26,162.01458740234375,164.95649541870915,160.1485286944431,161.5766410745246,56206100.0,0.012494805353570726,-0.09136025349997601,166.06849670410156,170.40454864501953,0.02082948319063303,38.354359144035996
2020-02-27,150.59915161132812,159.0250175403799,150.40873959890718,155.49282894832933,93174900.0,-0.07045930847366699,-0.14228392231975295,161.07200927734374,169.95696334838868,0.026052015984993064,23.978834712382152
2020-02-28,154.24562072753906,155.86415937952862,144.7153579750086,145.1057120982535,97012700.0,0.02421307874045575,-0.09283843694523108,157.91492614746093,169.46667709350587,0.025818051194278806,29.24843510188056
2020-03-02,164.50897216796875,164.63274652111016,154.5312339166153,157.3874578629097,71030800.0,0.06653901350339764,0.011118186652361306,158.2767120361328,169.6106155395508,0.029904997472043716,36.611015762568286
2020-03-03,156.62582397460938,166.6130941024236,154.48365562186393,165.47060721979446,71677000.0,-0.04791925990097634,-0.021181760845439546,157.5988311767578,169.1633773803711,0.03130657903688834,34.212048789064795
2020-03-04,162.37631225585938,162.51911762282631,157.68257731898743,160.41504106949054,49814400.0,0.03671481582872449,0.0022326684239692973,157.67117614746093,168.73116455078124,0.031542128301053976,39.8533522646356
