Date,Close,High,Low,Open,Volume,return_1d,return_5d,ma_5,ma_20,volatility_20,rsi_14,symbol,return_1d_universe_mean,return_5d_universe_mean,volatility_20_universe_mean,rsi_14_universe_mean,return_1d_rel,return_5d_rel,volatility_20_rel,rsi_14_rel,alpha_prob,rank
2020-01-31,161.6302032470703,163.69057600096366,161.0130461758437,163.51018671757376,36142700.0,-0.0147584438636965,0.0314469395640435,159.28308715820313,155.87444763183595,0.0129700490302662,65.89212538525007,MSFT,-0.0295486786401523,0.0019004053641902,0.0153245690987001,57.630477022183456,0.0147902347764558,0.0295465341998532,-0.0023545200684338,8.261648363066612,0.5779481,1.0
2020-02-03,165.57058715820312,165.6845203010666,161.7916403899352,161.82012367565108,30107000.0,0.0243790073388046,0.074562679176982,161.58083801269532,156.62264251708984,0.0132734101832722,68.38978948820174,MSFT,0.0108164790492559,0.0368120204027268,0.015392142917098,55.68869431162812,0.0135625282895486,0.0377506587742552,-0.0021187327338257,12.701095176573624,0.5002573,1.0
2020-02-04,76.93193054199219,77.12254331082424,75.67245190422207,76.07779948888638,136616400.0,0.0330135180889148,0.0036513616040392,76.49666595458984,75.76377754211425,0.0188075433776738,54.73961933808023,AAPL,0.032964940968538,0.0461263382361693,0.0167354282841486,65.30486849343956,4.857712037674433e-05,-0.0424749766321301,0.0020721150935251,-10.565249155359323,0.52971876,1.0
2020-02-05,170.8116912841797,174.89446403969472,169.3969733266185,174.7330539466545,39186300.0,-0.0012213593071522,0.0705783341661625,166.61687927246095,158.68349075317383,0.0143274400354629,74.63186220265703,MSFT,0.0034665259378274,0.030833974245707,0.0165341528076687,66.12530910224831,-0.0046878852449796,0.0397443599204554,-0.0022067127722057,8.506553100408723,0.5960218,1.0
2020-02-06,174.35325622558594,174.5336599911423,170.9636010212311,171.82763248366683,27751400.0,0.0207337385092343,0.0627968661187809,168.67726135253906,159.80102996826173,0.0145284767105235,75.17314980180336,MSFT,0.0162153238055803,0.0334671416993744,0.0165721845586248,66.35113037335816,0.0045184147036539,0.0293297244194064,-0.0020437078481013,8.822019428445202,0.5335204,1.0
2020-02-07,77.39988708496094,78.21492705790754,76.9089278720762,77.9658198194633,117684000.0,-0.0135928345220018,0.0364431046058926,76.96617126464844,76.4422492980957,0.0185154283122202,51.53375735583274,AAPL,-0.006088364910373,0.0583438660282773,0.0165169572308224,63.10891789882827,-0.0075044696116287,-0.0219007614223847,0.0019984710813977,-11.575160542995526,0.5015486,1.0
2020-02-10,77.76750946044922,77.76750946044922,75.90525344548281,75.9850613598187,109348800.0,0.0047496500231938,0.0442333628544777,77.62501220703125,76.5868133544922,0.018526088763413,54.31781376325721,AAPL,0.015453282033063,0.0631764285397649,0.0167186520319186,66.68017831084276,-0.0107036320098692,-0.0189430656852872,0.0018074367314943,-12.36236454758555,0.5088769,1.0
2020-02-11,175.1223907470703,181.06614041953577,174.22987571416988,181.0186634413718,53159900.0,-0.0225753943207993,0.023984377593013,174.81093139648436,163.13941345214843,0.0163532001284058,72.48095745767841,MSFT,-0.0143043820043186,0.0143733768259665,0.0171915268373065,62.23144519739635,-0.0082710123164806,0.0096110007670464,-0.0008383267089007,10.249512260282067,0.5021915,1.0
2020-02-12,175.37869262695312,176.4611007006087,172.6631756017562,176.2047366998145,47062900.0,0.0014635585934468,0.0267370535847883,175.72433166503907,164.211376953125,0.0160982316898429,71.97669606488917,MSFT,0.012605617343145,0.0235201147366561,0.0172524084894108,63.96748960402998,-0.0111420587496982,0.0032169388481322,-0.0011541767995679,8.00920646085919,0.5811698,1.0
2020-02-13,174.4292449951172,176.8219278375679,173.63166955969632,173.83106704053586,35295800.0,-0.0054137000203069,0.0004358322360951,175.73952941894532,165.1860221862793,0.0163234656529227,73.1927014521154,MSFT,-0.006267312849112,0.0008805472332017,0.0173981460350328,64.04614433822101,0.0008536128288051,-0.0004447149971066,-0.0010746803821101,9.146557113894389,0.54273516,1.0
