date,symbol,signal,confidence,source,run_timestamp
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:20:46.857229
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:20:46.864490
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:23:30.171138
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:23:30.179422
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:26:06.155747
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:26:06.162999
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:28:38.970784
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:28:38.978404
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:33:02.045117
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:33:02.052860
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:35:52.517516
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:35:52.525854
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:39:26.113922
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:39:26.121941
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:48:45.094578
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:48:45.104655
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:50:23.182355
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:50:23.193345
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T15:52:32.958940
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T15:52:32.968882
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T18:25:13.465675
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T18:25:13.473358
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T18:31:10.470105
2025-12-19,AAPL,HOLD,0.4647817611694336,ts_model,2025-12-19T18:32:17.451381
2025-12-19,MSFT,SELL,0.44649747014045715,ts_model,2025-12-19T18:32:17.459151
